,월요일,화요일,수요일,목요일,금요일,토요일,일요일
32,황제와의 하룻밤,교환학생,언덕 위의 제임스,네가 죽기를 바랄 때가 있었다,쌈빡,감 비서가 고장났다,취향 소개소
33,장난감,제로게임,탈영일지,불편한 관계,네버엔딩달링,웰캄투실버라이프,학교정벌
34,똑 닮은 딸,기계증식증,방탈출,마법사랑해,엽사:요괴사냥꾼,먹이,독립일기
35,꿈의 기업,3cm 헌터,마녀와 용의 신혼일기,수영만화일기,버그: 스티그마,단편.zip,혀로 만난 사이
36,순정말고 순종,성인초딩,아도나이,꽃만 키우는데 너무강함,피와 나비,남편을 만렙으로 키우려 합니다,동생친구
37,최후의 금빛아이,올가미,새벽 두 시의 신데렐라,길티액스,로판 빙의 만화,남자주인공의 여자사람친구입니다,평행도시
38,하루의 하루,정년이,오징어도 사랑이 되나요?,시월드 판타지,후덜덜덜 남극전자,군주,생존로그
39,와이키키 뱀파이어,은주의 방 2~3부,얼굴천재,마계인섬,다름이 아니라,왕세자 입학도,몸이 바뀌는 사정
40,야생천사 보호구역,빅맨,로어 올림푸스,THE 런웨이,인피니티,내게 필요한 NO맨스,아르세니아의 마법사
41,모스크바의 여명,악인,칼부림,롤랑롤랑,닥터 프로스트 시즌 3~4,함부로 대해줘,불순물
42,착한건 돈이된다,나타나주세요!,반귀,로그아웃,"주님, 악마가 되게 해주세요!",중매쟁이 아가 황녀님,거래하실래요?
43,사랑의 헌옷수거함,연우의 순정,범이올시다!,독립일기,악몽일기,"저무는 해, 시린 눈",잉여특공대
44,"선배, 그 립스틱 바르지 마요",열녀박씨 계약결혼뎐,여우담:스윗싱가포르,"그 개, 만두",사람의 조각,동네몬스터,전설의 화석
45,왕따협상,나는 어디에나 있다,속보입니다,성스러운 아이돌,너의 미소가 함정,같은 학교 친구,결혼까지 망상했어!
46,이중첩자,나의 플랏메이트,화가 살리에르,달의 요람,몽홀,율리,다시 또 봄
47,원하는 건 너 하나,숲속의 담,수요웹툰의 나강림,그 황제가 시곗바늘을 되돌린 사연,도무지 그애는,압락사스,데빌샷
48,백호랑,오파츠,사랑과 평강의 온달!,루커피쳐,거래,팔려 온 신부,짝사랑의 유서
49,"또다시, 계약 부부",태시트,반짝반짝 작은 눈,야만의 시대,태권보이,키스 식스 센스,사람은 고쳐 쓰는 게 아니야!
50,라서드,조선홍보대행사 조대박,무용과 남학생,겟라이프,방과후 선녀,오늘부터 천생연분,황제에게 하트를 심어주세요
51,마지막 지수,다꾸남,뱀은 꽃을 먹는가,어차피 남편은!,킬러방 : 퍼스트 킬,모두 너였다,패션쇼
52,사막에 핀 달,그녀석 정복기,웰컴 온보드,집사레인저,아찔한 전남편,"나를 길들여 봐, 차비서",굿 리스너
53,드로잉 레시피,안식의 밤,스캔들,소년의 기록,트럼프,더 나우,조선여우스캔들
54,중독연구소,자판귀,기억흔적,유리와 유리와 유리,빨리감기,좋은데 어떡해,가짜인간
55,살아간다,대신 심부름을 해다오,해귀,돌아온 여기사,썸내일,주욱 같은 하루,소녀 해미
56,이탄국의 자청비,급식러너,신선비,온새미로,팬시X팬시,도사 가온,독신마법사 기숙아파트
57,그림자 신부,완벽한 가족,저승사자 출입금지,혼모노트,백년게임,"안녕, 이바다씨","라커, 오프너"
58,모락모락 왕세자님,연애는 전쟁!,수상한 비밀상담부,온실 속 화초,꽃 피우는 남자,후아유!,위험한 신입사원
59,바로 보지 않는,언메이크,천도,평범한 낙원,나쁜 쪽으로,아가사,오늘 밤만 재워줘
60,개밥 먹는 남자,고등매직,구주,카루나,구주의 시간,2-3승강장,호수의 인어
61,헬로맨스,풋내기들,내 룸메이트는 마네킹,밤하늘에 구름운,"찬란하지 않아도 괜찮아, 새벽",인간졸업,제타
62,오로지 오로라,프린스 메이커,나의 계절,멸망X초이스,진짜 정말 맹세코 좋아해,아침을 지나 밤으로,데이즈
63,트리거,지원이들,시효완성,헬프미,합법해적 파르페,손 잡아 볼래?,푸른불꽃
64,보살님이 캐리해!,NG불가,,보물과 괴물의 도시,"행운을 빌어요, 용사님!",먹지마세요,샤인 스타
65,기사님을 지켜줘,피로만땅,,모어 라이프,강림전기 개정기,광해의 연인,가비지타임
66,,하나in세인,,바른탕진 프로젝트,매지컬 메디컬,,호시탐탐
67,,찐:종합게임동아리,,,도깨비 고개,,
68,,인문학적 감수성,,,,,
